amenity,addr:county,addr:district,operator:type,fees,photo,source,operational_status,drinking_water,water:system,pump,name,latitude,longitude,install_year
water_point,aswa,gulu,institution,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F8b086aee-1d4f-4270-9694-b723b0d48cf8%2F1652865747702.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,no,water_truck_tank,2.7910476,32.346185,
water_point,aswa,gulu,community,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F1068371f-fa91-4cdb-848a-fecd0331a72d%2F1653301972813.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,deep_borehole,2.89564,32.2629128,11/19/2014
water_point,aswa,gulu,community,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fa8846d52-ff73-4d1d-ba99-15939afbbe51%2F1652878760380.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,protected_spring,2.8295651,32.329546,
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F1c17e6bc-b121-4810-bebd-d71aa217b3bc%2F1653401839387.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,deep_borehole,2.8885307,32.2071948,8/11/2010
water_point,aswa,gulu,community,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F02b755b6-f9f4-4795-af79-5c48aee8cd53%2F1652964026304.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,deep_borehole,2.835923,32.3496187,2/4/2021
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fccb6a94c-db1b-49d1-b10b-b43609b0cedf%2F1653033240677.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,tap,2.8457234,32.319181,5/20/2021
water_point,aswa,gulu,institution,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F8b00e9f6-6c4d-4c31-a106-92617616f797%2F1652873100412.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,tap,2.7915372,32.34879,
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F25fd0282-d23b-4366-b8f9-ff67777dc102%2F1653391785970.jpg,youthmappers_gulu,functional_in_use,yes,surfacewater,no,rainwater_harvest_tank,2.8104173,32.2388958,1/5/2022
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fd1a79a4c-02ba-41f0-8949-443589b0789b%2F1652953781102.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,deep_borehole,2.8386158,32.3795448,
water_point,aswa,gulu,community,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F970aabc4-1595-4042-b300-9875812c0650%2F1653136661210.jpg,youthmappers_gulu,non_functional,yes,groundwater,yes,deep_borehole,2.9251584,32.2989368,12/14/2014
